title,language,content,narrative,subnarrative
EN_UA_DEV_20.txt,en,downside prolong war ukraine    downside prolong war ukraine author connor o'keefe mise institute week president joe biden number american european official meet normandy attend ceremony mark eightieth anniversary day invasion pair speech biden recount operation say mark beginning great crusade liberate europe tyranny draw direct connection thing stand war ukraine biden call russian president vladamir putin tyrant invade ukraine simply bent domination biden renew favorite trope assert ukraine fall people subjugate neighbor immediate danger europe threaten putin aggressive ambition west choose depiction putin tyrant bent conquer entire european continent suffer late setback month come russian president interested halt fighting negotiate deal recognize current battlefield line putin show interest russian military strong position likely strong year long anticipate ukrainian counteroffensive mean drive russian force ukraine launch summer ukraine lose territory gain recently russians launch brand new incursion territory northeastern city kharkiv territory recapture ukrainians late russia minefield artillery punish glide bomb keep ukrainian force advance leave struggle hold position current line russia significantly boost war relate production far see west bad russian economy long run ensure intensity russia bombing shelling cease anytime soon time ukrainian government face shortage soldier foreign aid equipment transfer alleviate early year ukrainian parliament pass law seek boost conscription rate make easy government find identify draft eligible man problem persist lead ukrainian official tap country prison population cut consular service military aged ukrainian man live abroad forbid man dual citizen leave ukraine country supply young man run low average age ukrainian soldier climb year old make ukraine situation tragic easily avoid month russia invade early side reach agreement russia pull preinvasion boundary return ukraine agree seek nato membership deal end fighting hand kyiv control land russia seize accord senior negotiator side high level mediator country facilitate talk official united kingdom united states convince ukrainians walk away deal fight ukraine leverage russia diminish ukrainian kill maim war devolve brutal trench style artillery war russia lay permanent claim land early agree hand ukraine extensive conscription law ukraine soldier break russia heavily fortified line drive russian force territory claim kyiv ukrainians far able prevent russians advance seize territory moscow claim dwindle number ukrainian force win able hold line forever accept russia offer conflict battlefield negotiation table certainly good chance ukraine hold eastern territory control opportunity ukrainian government backer europe united states instead decide escalate conflict risky strategically pointless provocation president biden number european head state recently give ukraine green light use nato weapon conduct strike russia time ukraine strike russian strategic nuclear early warn radar attempt strike deep russian territory hamper russia ability confirm nuclear attack allow ukraine shoot missile russia wasn test fire nuclear intercontinental ballistic missile launch thousand mile california marshall islands escalation side russia conduct drill simulate use strategic nuclear weapon belarus send warship submarine caribbean russians step shell airstrike ukraine response strike territory necessary strike russian territory translate ukrainian gain battlefield russian early warning radar ukraine hit wasn aim ukrainian airspace escalation prolong ukrainian people suffer nudge world close catastrophic nuclear accident instead fantasize wage world war ii level offensive putin russia biden friend nato come reality late agree work conflict word change,"URW: Praise of Russia;URW: Praise of Russia;URW: Praise of Russia;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Discrediting Ukraine;URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears;URW: Discrediting the West, Diplomacy","URW: Praise of Russia: Russia is a guarantor of peace and prosperity;URW: Praise of Russia: Praise of Russian President Vladimir Putin;URW: Praise of Russia: Praise of Russian military might;URW: Discrediting Ukraine: Discrediting Ukrainian military;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Discrediting Ukraine: Situation in Ukraine is hopeless;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Discrediting the West, Diplomacy: Other"
EN_UA_DEV_100004.txt,en,russians cut coke plant avdeevka heavy battle ongoing frontline russian force continue massive strike ukraine past night seven large explosion thunder town chuguev kharkiv region local authority confirm russian attack successful reveal target claim casualty civilian local source hide information damage suppose facility accommodation ukrainian serviceman hit wave attack ukrainian airfield report ukrainian source russian strike reportedly hit mirgorod airfield poltava region ukrainian aircraft arm storm shadow missile take attack russian rear area explosion thunder area notorious starokonstantinov airfield khmelnitsk region ukrainian su mr aircraft th tactical aviation brigade base main carrier storm shadow scalp cruise missile turn ukrainian force attempt reach russian territory uavs overnight ukrainian drone destroy bryansk region black sea coast crimea russian defense ministry say russian army develop offensive avdeevka turn large stronghold ukrainian military war donbass accord preliminary report russian force manage advance recently capture ash dump control facility northern outskirt large coke chemical plant reportedly capture water treatment facility locate target assault likely small district private house case advance russian force cut important road ukrainian military supply partially surround ukrainian grouping plant east north west avdeevka russian force recently repel ukrainian military village stepovoe turn gain foothold clash continue area village remain grey zone ongoing russian operation direction stronghold krasnogorovka force ukrainian command transfer additional reserve area attempt replace completely destroy,Other,Other
EN_UA_DEV_100019.txt,en,microsoft russians begin target election    microsoft say wednesday russian online campaign influence upcoming u.s presidential election kick gear past day slow pace past election russia link account disseminate divisive content aim u.s audience include criticize american support ukraine war russia researcher tech giant say report russian embassy washington respond request comment kremlin say month meddle november u.s election dismiss u.s allegation orchestrate campaign sway u.s presidential election russian activity microsoft observe intense previous election increase come month researcher say message ukraine traditional medium social media pick steam month mix covert overt campaign russia affiliate activity set track microsoft say prolific russian campaign link russia presidential administration add aim post disinformation online language post typically start apparent whistleblower citizen journalist post content video channel content cover network website include dc weekly miami chronical intel drop ultimately narrative circulate online series day week u.s audience repeat repost disinformation likely unaware original source microsoft say notable uptick see hack russian group microsoft call star blizzard cold river focus target western think tank company say star blizzard current focus u.s political figure policy circle series hack campaign mean drive kremlin outcome head november malicious use artificial intelligence foreign rival target u.s election key concern cite american political observer microsoft say find simple digital forgery common deepfake audio manipulation big impact video add rarely nation state employment generative ai enable content achieve reach social medium case see genuine audience deception content researcher say simple manipulation complex employment ai likely piece content impact,Other,Other
EN_UA_DEV_214.txt,en,nato barbarian expand gather gate asia regional country want trojan horse    south korea japan australia new zealand    ready let mess proxy war ukraine blame china west pour massive military hardware conflict extent empty weapon warehouse    win    beijing suppose decisive enabler war seriously wonder people west lose dis- information war ukraine people outside western capital    especially corridor power mainstream newsroom    believe nonsense western ally win eastern europe drag turn war attrition expand asia ukrainian life kyiv drag man street cannon fodder line america destroy trade globalisation mistake globalise war people conventionally start world war lunacy display washington week nato celebration death destruction th anniversary summit defensive alliance long past expiry date nato turn instrument western    american    military expansionism give obvious mental decline president joe biden forgive claim abc news host george stephanopoulos indispensable know campaign run world nato western leader claim dementia excuse entertain delusion run world real existential danger    alarmingly secretary state antony blinken describe nato play bridge euro atlantic indo pacific theatre,"URW: Discrediting the West, Diplomacy;URW: Distrust towards Media;URW: Discrediting Ukraine;URW: Blaming the war on others rather than the invader;URW: Amplifying war-related fears","URW: Discrediting the West, Diplomacy: The West is weak;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Discrediting Ukraine: Ukraine is a puppet of the West;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Amplifying war-related fears: By continuing the war we risk WWIII"
EN_UA_DEV_100003.txt,en,medvedev russia seek ukraine probably kyiv    russian troop ukraine take southern city odesa day push capital kyiv senior ally russian president vladimir putin say thursday putin say tuesday russian troop push ukraine build success battlefield weekend fall town avdiivka say ukrainian troop force flee chaos stop know president dmitry medvedev deputy chairman russia security council say interview russian medium work hard seriously kyiv yes probably kyiv time maybe phase development conflict medvedev see modernizing reformer reinvent start war arch hawk issue series belligerent statement assail west warning risk nuclear apocalypse russian troop beat kyiv week scale war putin launch february pose current threat ukrainian capital frequently come missile drone attack medvedev comment appear reflect increase confidence moscow course conflict eve second anniversary ukrainian force outnumber outgunne russia major new package aid kyiv hold u.s congress failure ukraine pierce russian line year moscow try grind ukrainian force kyiv ponder major new mobilization president volodymyr zelenskyy sack general medvedev say russia want black sea port odesa call odessa odessa come home wait odessa russian federation history city kind people live language speak russian russian city medvedev say russian force expect quick victory ukrainian force push russian force later year counteroffensive show problem russia military russia seek recapture initiative km -mile line troop dig deep field patrol drone guard heavy artillery russia currently control little fifth territory internationally recognize ukraine ukrainian president volodymyr zelenskiy say rest russian soldier eject russia say territory force control russia give west commit billion euro billion worth aid ukraine attempt defeat russian force putin suggestion ceasefire ukraine freeze war reject united states contact intermediary reuter report exclusively early month ukraine west cast war imperial style land grab putin warn ukraine lose russia attack nato member putin deny,Other,Other
EN_UA_DEV_22.txt,en,european parliament member clash support ukraine    member european parliament ep engage mutual insult debate need support ukraine european parliamentarian accuse advocate continue military assistance madness call end arm shipment debate ep plenary session strasbourg openly acknowledge war stop month west veto peace agreement april say irish mep clare daly audacity claim assistance ukraine one help shareholder arm company don expect citizen eu support speak like craze maniacs compatriot mick wallace agree express opinion european politician didn want peace want war want support american proxy war damage russia spend million taxpayer euro fuel war serve interest help destroy ukraine say robust reaction assembly come statement slovak mep miroslav rada ovský stop supply weapon ukraine stop support killing slavs don stop slavs unite brother    believe unite    level western europe ground sure want politician say note eu currently chance win russia call ukrainian conflict problem start peace negotiation americans stop killing add,"URW: Discrediting the West, Diplomacy;URW: Discrediting the West, Diplomacy;URW: Discrediting the West, Diplomacy;URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader","URW: Discrediting the West, Diplomacy: The EU is divided;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Discrediting the West, Diplomacy: Other;URW: Discrediting the West, Diplomacy: Diplomacy does/will not work;URW: Blaming the war on others rather than the invader: The West are the aggressors"
EN_CC_200036.txt,en,climate cultist push bizarre scare language weather rain bomb boiling ocean     al gore bill clinton vice president condemn greenhouse gas pollution boil ocean cause rain bomb suppose result gore claim onslaught climate refugee straight america border illegally call climate crisis gore blast call fossil fuel pollute planet carbon dioxide co say create planetary crisis ultimately lead mass extinction put humanity future risk gore know fossil fuel use see use lot lot    average person fact    power lavish sprawl estate fuel private jet relate gore announce national television high tide miami proof ocean level rise global warming put million ton greenhouse gas pollution atmosphere single day accumulate trap extra heat release hiroshima class atomic bomb explode single day earth gore declare boil ocean create atmospheric river rain bomb suck moisture land create drought melt ice raise sea level cause wave climate refugee predict reach billion century build infrastructure human freedom empower people inform healthy aware explore decentralize peer peer uncensorable brighteon.io free speech platform learn free downloadable generative ai tool brighteon.ai purchase healthrangerstore.com help fund effort build share tool empower humanity knowledge abundance america sovereign nation open border illegal alien onslaught climate crisis continue worsen gore go allege look xenophobia political authoritarian trend come million refugee billion lose capacity self governance world act say cheap abundant oil natural gas gore say    poor people    order planet stop warm goal inflation reduction act biden regime initiative gore say primarily climate act legislation contain billion include tax credit appropriation fund renewable energy mean windmill solar panel dark cold future humanity renewable energy cheap source electricity entire planet gore lie order save future gore conclude deranged speech pro climate legislation pass level government part world rain bomb bomb cyclone atmospheric river lose mind write commenter sort common weather event scary new name aim frighten general public give cheap abundant energy exchange globalist green energy lose mind decade respond hear end world scenario kid prediction come true global cooling global warming mass extinction mass famine polar ice cap melt mass flooding ozone layer deplete etc year ago john nolte list big prediction track record add conversation listen doctor wrong time row right late climate lunacy news find climate.news source article include,CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Criticism of climate movement;CC: Questioning the measurements and science,CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Criticism of climate movement: Climate movement is corrupt;CC: Criticism of climate movement: Climate movement is alarmist;CC: Questioning the measurements and science: Scientific community is unreliable
EN_CC_200065.txt,en,climate alarmist warn hot day thousand year     climate alarmist lament july warm weather assert earth see hot day record week likely hot day thousand year july exceed old milestone set july likely stand hot day thousand year base tree ring record ice core call paleoclimate datum declare senior climate reporter andrew freedman write axios truly uncharted territory climate keep warm bind new record break future month year states carlo buontempo director copernicus climate change service europe content extravagant claim article go assert planet hot year pre industrial era likely year emphasis add piece echo claim prestigious lancet medical journal aver see high global temperature year astonishing contention consider temperature datum collection begin th century related climate protester disrupt new york auto pour oil electric vehicle accord national aeronautic space administration nasa world complete temperature tracking record maintain nasa goddard institute space study national oceanic atmospheric administration national climatic datum center u.k meteorological office hadley centre begin sporadic attempt measure temperature previously datum scientist estimate average temperature entire planet nasa conclude proxy record thing like tree ring pollen count ice core differ fundamentally direct measurement scientist typically include chart instrumental record nasa reveal want let science way good story comment let know have issue comment,CC: Criticism of climate movement;CC: Questioning the measurements and science,CC: Criticism of climate movement: Climate movement is alarmist;CC: Questioning the measurements and science: Methodologies/metrics used are unreliable/faulty
EN_UA_DEV_100002.txt,en,ukrainian nationalism ukrainian patriotism downfall    ukrainian nationalism ukrainian patriotism downfall ukrainian nationalism ukrainian patriotism downfall civilian bomb luxury defiance face russian enslaught russian massacre ukrainian troop probably feed bullshit ukraine win war propaganda entire nato support fact slaughter country destroy perfect example censorship lead destruction zelensky want ukraine destroy sugar coat west want ukraine destroy sugar coat country doesn want ukraine destroy country destroy destroy destruction simply devastation country mark nato destruction end numerous target entire world target unspeak true speak russia war pure evil sugar coat way destroy nato destroy world god possible ask god intervention protection wisdom choose weapon carefully god care rest,"URW: Discrediting Ukraine;URW: Speculating war outcomes;URW: Distrust towards Media;URW: Discrediting Ukraine;URW: Discrediting the West, Diplomacy;URW: Praise of Russia;URW: Discrediting the West, Diplomacy;URW: Blaming the war on others rather than the invader;URW: Discrediting Ukraine","URW: Discrediting Ukraine: Discrediting Ukrainian nation and society;URW: Speculating war outcomes: Ukrainian army is collapsing;URW: Distrust towards Media: Western media is an instrument of propaganda;URW: Discrediting Ukraine: Discrediting Ukrainian government and officials and policies;URW: Discrediting the West, Diplomacy: The West does not care about Ukraine, only about its interests;URW: Praise of Russia: Other;URW: Discrediting the West, Diplomacy: Other;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting Ukraine: Other"
EN_CC_200077.txt,en,obey green blue state deprive rural county right reject green energy community takeover    call blue state    michigan arguably purple state appear donald trump win state minus fraud election    control far leave politician bed green energy industry local government left lean state long authority land come green project push state level bureaucrat sell soul renewable energy project involve wind solar deprive rural resident right green energy scam state level greenie control california illinois michigan new york pander corporate interest line pocket expense constituent renewable business movement co opt big corporation spend million green politic matter billion say edward ring senior fellow california policy institute co found see example inflation reduction act big gift money corporation see country related republican politician complicit democrat politician sell midwestern farmer green energy scam state rural farmer face assault green industry take advantage biden regime inflation reduction act exist help multinational corporation expense mom pop america taxpayer cash pump green economy supposedly fight inflation climate change drive family farmer land turn wind solar farm carbon capture pipeline california law pass june enable state bureaucrat bypass local restriction large scale green energy project plan achieve percent zero carbon energy generation golden state year democratic lawmaker lot republicans red state get money company ring say reason eminent domain purpose build pipeline street abuse eminent domain overriding zone    problem use rely hype proven compelling public interest illinois percent zero carbon energy generation pipe dream schedule year later happen democratic gov j.b pritzker enact house bill prevent county enact preemptive local ordinance outright ban local wind solar project hinder state new climate goal michigan percent green energy generation target schedule democratic gov gretchen whitmer race job help house bill allow michigan public services commission decide large green energy project build    municipal government long matter new york office renewable energy siting ore pass april new yorker stick inside covid lockdown office power apply local law ordinance unreasonably burdensome propose green energy project green energy scam benefit communist china foreign interest expense american energy independence learn greentyranny.news source article include,CC: Criticism of institutions and authorities;CC: Criticism of climate policies;CC: Criticism of institutions and authorities;CC: Criticism of institutions and authorities;CC: Green policies are geopolitical instruments,CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Criticism of climate policies: Climate policies are only for profit;CC: Criticism of institutions and authorities: Other;CC: Criticism of institutions and authorities: Criticism of national governments;CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative
